1828716544,1830813695,FR
1830813696,1831337983,NL
1831337984,1831862271,DE
1831862272,1832124415,PT
1832124416,1832386559,IT
1832386560,1832648703,SE
1832648704,1832681471,HR
1832681472,1832714239,RU
1832714240,1832715263,HU
1832715264,1832716287,IQ
1832716288,1832718335,HU
1832718336,1832718591,LU
1832718592,1832718847,FI
1832718848,1832719103,AE
1832719104,1832719359,GB
1832719360,1832722431,HU
1832722432,1832722687,US
1832722688,1832722943,LU
1832722944,1832723199,AZ
1832723200,1832723455,NL
1832723456,1832724223,LU
1832724224,1832724479,KZ
1832724480,1832724735,SG
1832724736,1832724991,TR
1832724992,1832725247,AE
1832725248,1832725503,TR
1832725504,1832725759,LU
1832725760,1832726015,IN
1832726016,1832726527,LU
1832726528,1832734719,HU
1832734720,1832734975,DE
1832734976,1832735231,FR
1832735232,1832735487,IT
1832735488,1832735743,JP
1832735744,1832735999,NL
1832736000,1832736255,DK
1832736256,1832736511,US
1832736512,1832736767,CZ
1832736768,1832737023,ES
1832737024,1832737279,DE
1832737280,1832737535,CZ
1832737536,1832738303,US
1832738304,1832738559,PT
1832738560,1832738815,GB
1832738816,1832740863,HU
1832740864,1832741887,CH
1832741888,1832742143,RU
1832742144,1832742399,CH
1832742400,1832742655,FR
1832742656,1832742911,CH
1832742912,1832744959,HU
1832744960,1832745215,BR
1832745216,1832745471,PT
1832745472,1832745727,IT
1832745728,1832745983,LU
1832745984,1832746239,BR
1832746240,1832746751,LU
1832746752,1832747007,KR
1832747008,1832779775,RU
1832779776,1832812543,MQ
1832812544,1832845311,RU
1832845312,1832878079,BH
1832878080,1832910847,RU
1832910848,1833045759,IL
1833045760,1833046015,DE
1833046016,1833049087,IL
1833049088,1833049599,KR
1833049600,1833050111,JP
1833050112,1833051135,US
1833051136,1833051391,IL
1833051392,1833052159,US
1833052160,1833053183,AT
1833053184,1833053439,IL
1833053440,1833054463,US
1833054464,1833054719,IL
1833054720,1833054975,US
1833054976,1833055999,IL
1833056000,1833056255,US
1833056256,1833056767,IL
1833056768,1833057023,US
1833057024,1833057535,IL
1833057536,1833057791,US
1833057792,1833058815,IL
1833058816,1833059071,HK
1833059072,1833060351,IL
1833060352,1833061375,US
1833061376,1833064447,IL
1833064448,1833064959,HK
1833064960,1833068031,IL
1833068032,1833068287,US
